Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
;0x64506968e80c9ed07bff60c8d9d57474effff2c9;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.188776;32.453324;0.80
;0xb9b7840ec34094ce1269c38ba7a6ac7407f9c4e3;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.237958;40.908411;1.01
;0x22a72b0c504cbb7f8245208f84d8f035c311adec;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.278303;47.844258;1.18
;0x353d0b2efb5b3a7987fb06d30ad6160522d08426;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.669934;115.171354;2.85
;0xb451a36c8b6b2eac77ad0737ba732818143a0e25;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.701089;120.527341;2.98
;0xcdd26eb5eb2ce0f203a84553853667ae69ca29ce;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;1.355483;233.026957;5.77
;0xd3c29550d12a5234e6aeb5aea7c841134cd6ddd5;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.576568;99.120285;2.45
;0x2c71ead7ac9ae53d05f8664e77031d4f9eba064b;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.160159;27.533620;0.68
;0x890b6afc834c2a2cc6cb9b6627272ab4ecfd8271;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.008503;1.461843;0.04
;0xafdc922d0059147486cc1f0f32e3a2354b0d35cc;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;1.015207;174.528678;4.32
;0x83916356556f51dcbcb226202c3efeefc88d5eaa;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.000000;0.000000;0.00
;0xad016c9565a4aeec6d4cfc8a01c648ecbea1a602;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.000000;0.000000;0.00
;0xe6df8d8879595100e4b6b359e6d0712e107c7472;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.000000;0.000000;0.00
;0xebf5c58b74a836f1e51d08e9c909c4a4530afd41;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.000000;0.000000;0.00
Unknown;0x82D810ededb09614144900F914e75Dd76700f19d;sdPENDLE;0x5Ea630e00D6eE438d3deA1556A110359ACdc10A9;3148.000000;3148.000000;77.91
