Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
cake;USDT-EYWA / BNB Smart Chain;0xA1D4d0E50cbe0B6CbE6f06e192Cb5D00fa248813;EYWA;0x7a10f506e4c7658e6ad15fdf0443d450b7fa80d7;910.991;6.486;0.183
cake;SDT-WETH / Arbitrum One BRIL#3;0x7ECeC5056b86fD61F27038201dB7586cB1EB2DCF;Stake DAO CAKE;0x6a1c1447f97b27da23dc52802f5f1435b5ac821a;162.782;162.782;4.603
cake;SDT-WETH / Arbitrum One BRIL#4;0x718a0C0D94f5601C1F0bFd05E71590F81Cf8B414;Stake DAO CAKE;0x6a1c1447f97b27da23dc52802f5f1435b5ac821a;167.55;167.55;4.738
cake;PEPE-WBNB / BNB Smart Chain;0xdD82975ab85E745c84e497FD75ba409Ec02d4739;Pepe;0x25d887ce7a35172c62febfd67a1856f20faebb00;363446977.317;1364.687;38.59
cake;INSP-WETH / Ethereum;0xBC7766aE74f38f251683633d50Cc2C1CD14aF948;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;46035.39;158.584;4.484
cake;INSP-USDT / Ethereum;0xEd4D5317823Ff7BC8BB868C1612Bb270a8311179;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;47893.456;164.985;4.665
cake;BNB-USDT / BNB Smart Chain;0x172fcD41E0913e95784454622d1c3724f546f849;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;473.992;520.698;14.724
cake;CAKE-USDT / BNB Smart Chain;0x7f51c8AaA6B0599aBd16674e2b17FEc7a9f674A1;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;431.568;474.094;13.406
cake;uniBTC-BTCB / BNB Smart Chain;0x36D99f82fbF7cf07377F041F69B5F4C5f9c2F5d5;USD Coin;0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d;444.09;250.249;7.076
cake;brBTC-uniBTC / BNB Smart Chain;0x3bf669cDac7121413C28466082A7a58f942E6628;USD Coin;0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d;472.525;266.272;7.529
