Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
ethereum-sdeUSD-07/22/2025;0xFb7c3C95f4C2C05F6eC7dcFE3e368a40eB338603;WETH;0x4200000000000000000000000000000000000006;0.028659;5160.614210;11.43
ethereum-yvCurve-GHO-USR-08/07/2025;0xB01C2629506ba4f89cbe8Dd823974eC6FDCAD1e1;GHO;0x6Bb7a212910682DCFdbd5BCBb3e28FB4E8da10Ee;50.182431;3461.047623;7.67
base-sjEUR-03/17/2026;0x25b8288B7B093998a234aBBCF04035102D5Dd50B;USDC;0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913;41.316291;2868.163004;6.35
base-sjEUR-03/17/2026;0x25b8288B7B093998a234aBBCF04035102D5Dd50B;WETH;0x4200000000000000000000000000000000000006;0.005991;1078.773481;2.39
base-yvBal-GHO-USR-10/25/2025;0xD1F6dbd971E2Cd6f486f2C42eA1ACcC8667447c9;GHO;0x6Bb7a212910682DCFdbd5BCBb3e28FB4E8da10Ee;102.685335;7082.136723;15.69
base-yvBal-GHO-USR-10/25/2025;0xD1F6dbd971E2Cd6f486f2C42eA1ACcC8667447c9;WETH;0x4200000000000000000000000000000000000006;0.002208;397.546395;0.88
base-cUSDO-07/15/2025;0x5e3A444CbBaBF92d619fA9FCAEef99c24Ead3Ba0;WETH;0x4200000000000000000000000000000000000006;0.038403;6915.276134;15.32
ethereum-sw-stkGHO-10/04/2025;0x17A23e49ae0209B5243090c138e800C4CA1921E9;GHO;0x6Bb7a212910682DCFdbd5BCBb3e28FB4E8da10Ee;59.915043;4132.299137;9.15
ethereum-cUSDO-11/20/2025;0xcBe13315809Acf6d7B92472fcb9546655B874Ee7;WETH;0x4200000000000000000000000000000000000006;0.062670;11285.015868;25.00
sonic-lstRZR-12/14/2025;0x17cD5228dA53F244A96Fc6e5415bDCdC06348A46;SPECTRA;0x64FCC3A02eeEba05Ef701b7eed066c6ebD5d4E51;6142.698487;2763.121796;6.12
