Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
curve;USDT+WBTC+WETH ;0xDeFd8FdD20e0f34115C7018CCfb655796F6B2168;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;21271.319;20845.893;7.601
curve;poly-CRV+crvUSDBTCETH ;0x40371aad2a24ed841316EF30938881440FD4426c;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;10165.276;9961.97;3.633
curve;USDC+WBTC+WETH ;0x85D44861D024CB7603Ba906F2Dc9569fC02083F6;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;21424.813;20996.317;7.656
curve;USDT+WBTC+WETH ;0xF29FfF074f5cF755b55FbB3eb10A29203ac91EA2;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;21921.392;21482.964;7.834
curve;USDT+crvUSD ;0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;23027.215;22566.671;8.229
curve;ALCX+FRAXBP ;0xD5bE6A05B45aEd524730B6d1CC05F59b021f6c87;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;38.303;470.255;0.171
curve;USDC+crvUSD ;0x95f00391cB5EebCd190EB58728B4CE23DbFa6ac1;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;22446.023;21997.102;8.021
curve;crvUSD+WETH+CRV ;0x8D867BEf70C6733ff25Cc0D1caa8aA6c38B24817;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;42011.974;41171.734;15.013
curve;MAI+FRAXBP ;0xB3783f527B7704DeeD4993f7c1c779E426A04368;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;11.926;146.422;0.053
curve;GRAI+FRAXBP ;0x8d5AF1F5DD3dC4B73e3A9Af682aDC3641FADE9a5;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;108.57;1332.946;0.486
curve;dETH+frxETH ;0x688Eb2C49D352c9448049A2263CFcE63D0918d3e;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;59.733;733.363;0.267
curve;crvUSD+tBTC+wstETH ;0x60d3d7eBBC44Dc810A743703184f062d00e6dB7e;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;25992.8;25472.944;9.289
curve;MIM+3Crv ;0xd8b712d29381748dB89c36BCa0138d7c75866ddF;SPELL;0x090185f2135308BaD17527004364eBcC2D37e5F6;55483603.474;47971.584;17.493
curve;CRV+sdCRV ;0x26F7786de3E6D9Bd37Fcf47BE6F2bC455a21b74A;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;15686.352;15372.625;5.606
curve;ETH+OETH ;0xd03BE91b1932715709e18021734fcB91BB431715;OGV;0x9c354503C38481a7A7a51629142963F98eCC12D0;1571392.463;23715.983;8.648
frax;Convex stkcvxCOILFRAXBP;0x39cd4db6460d8B5961F73E997E86DdbB7Ca4D5F6;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;300.174;303.96;61.782
frax;Convex stkcvxfrxETHstETH;0x68921998fbc43B360D3cF14a03aF4273CB0cFA44;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;185.689;188.031;38.218
frax;Convex stkcvxtriSDT;0x50Cde910D1f8b6C787b7903d23082542593E0710;sdFXS;0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36;404.761;404.761;82.27
balancer;80Silo-20WETH;0x6661136537dfDCA26EEA05c8500502d7D5796E5E;Silo;0x6f80310CA7F2C654691D1383149Fa1A57d8AB1f8;13851.788;99.457;13.126
balancer;B-sdBAL-STABLE;0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;1263.178;36.664;4.839
balancer;B-baoUSD-LUSD-BPT;0x5aF3B93Fb82ab8691b82a09CBBae7b8D3eB5Ac11;BAL;0xba100000625a3754423978a60c9317c58a424e3D;331.168;119.842;15.816
balancer;B-baoETH-ETH-BPT;0xD449Efa0A587f2cb6BE3AE577Bc167a774525810;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;3430.0;99.556;13.139
balancer;80D2D-20USDC;0x1249c510e066731FF14422500466A7102603da9e;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;3118.618;295.029;38.936
balancer;RDNT-WETH;0x8135d6abfd42707a87a7b94c5cfa3529f9b432ad;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;166.273;15.73;2.076
balancer;RDNT-WETH;0xf22bbdad6b3dd9314bdf97724df32b09ff95c216;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;169.986;16.081;2.122
balancer;50rETH-50BADGER;0x87012b0c3257423fd74a5986f81a0f1954c17a1d;BADGER;0x3472A5A71965499acd81997a54BBA8D852C6E53d;32.323;12.257;1.618
