Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
ETH+frxETH ;0x2932a86df44Fe8D2A706d8e9c5d51c24883423F5;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;113.803107;989.469174;0.50
MIM+3Crv ;0xd8b712d29381748dB89c36BCa0138d7c75866ddF;SPELL;0x090185f2135308BaD17527004364eBcC2D37e5F6;12116001.668380;28849.953064;14.62
WETH+CVG ;0x16A3a047fC1D388d5846a73ACDb475b11228c299;CVG;0x97efFB790f2fbB701D88f89DB4521348A2B77be8;7501.996565;3866.810501;1.96
ETH+OETH ;0xd03BE91b1932715709e18021734fcB91BB431715;OGN;0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26;75592.344807;28511.886429;14.45
crvUSD+zunUSD ;0xB1A829a05E618F7C4f50Cb86f8F64Fb86e42dE5a;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;4185.428123;3497.822698;1.77
arbi-zunUSD+crvUSD ;0x5C5480A5C90EAcb8f31028f0f0eA9a716d04028D;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;5536.396608;4626.846562;2.35
arbi-zunETH+WETH ;0x39D053f054e9e5E5ADA759FBDDCEc904D43e9B7c;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;7721.027425;6452.574070;3.27
USR+USDC ;0xf589273a91622f1f48C0CD378881f0b3e6c40a95;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;4408.603078;4320.698299;2.19
CVX1+cvgCVX ;0xeE624fCbb0C197E41ffc58999e6D35b9B893533E;CVG;0x97efFB790f2fbB701D88f89DB4521348A2B77be8;2252.832900;1161.194602;0.59
CVX+clevCVX ;0x7970489a543FB237ABab63d62524d8A5CE165B86;CVX;0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B;298.131927;3322.818364;1.68
ETH+ETHx ;0x7671299eA7B4bbE4f3fD305A994e6443b4be680E;SD;0x30D20208d987713f46DFD34EF128Bb16C404D10f;844.933968;1639.721324;0.83
DOLA+crvUSD ;0xEcAD6745058377744c09747b2715c0170B5699e5;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;45.240911;4536.598503;2.30
USDC+WETH+INV ;0x4Fc86cd0F9b650280Fa783e3116258e0E0496A2c;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;49.242160;4937.829616;2.50
DOLA+FRAXBP ;0xBE266d68Ce3dDFAb366Bb866F4353B6FC42BA43c;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;136.362046;13673.903544;6.93
DOLA+FRAXPYUSD ;0x4B092818708A721cB187dFACF41f440ADb79044D;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;663.995412;66583.110964;33.75
alETH+WETH ;0xB251c0885c7c1975D773B57e67c138FBcEaa6db4;ALCX;0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF;105.061336;6405.288527;3.25
alUSD+3Crv ;0x9582C4ADACB3BCE56Fea3e590F05c3ca2fb9C477;ALCX;0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF;113.719275;6933.138197;3.51
arbi-crvUSD+FRAX ;0x059E0db6BF882f5fe680dc5409C7adeB99753736;sdCRV;0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5;6962.000000;6962.000000;3.53
