Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
cake;SDT-WBNB / BNB Smart Chain;0x52b59E3eAdc7C4ce8d3533020ca0Cd770E4eAbC3;Tether USD;0x55d398326f99059ff775485246999027b3197955;1844.197;914.093;27.547
cake;sdCAKE-CAKE / BNB Smart Chain;0xB1D54d76E2cB9425Ec9c018538cc531440b55dbB;Tether USD;0x55d398326f99059ff775485246999027b3197955;2755.35;1365.714;41.157
cake;ETH-rswETH / Ethereum;0x7B94A5622035207d3f527d236d47B7714Ee0acBa;Tether USD;0x55d398326f99059ff775485246999027b3197955;1526.798;756.771;22.806
cake;WETH-rswETH / Ethereum;0x2689eF3EC44f417d22c862F16F3D5e71E6287086;Tether USD;0x55d398326f99059ff775485246999027b3197955;282.445;139.997;4.219
cake;AITECH-USDT / BNB Smart Chain;0x55458175c5F5D34B9bD01c81F172780ED4271b23;Tether USD;0x55d398326f99059ff775485246999027b3197955;255.464;126.623;3.816
cake;CAKE-USDT / BNB Smart Chain;0x7f51c8aaa6b0599abd16674e2b17fec7a9f674a1;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;17.74;15.081;0.454
cake;USD+-USDT+ 0.05 V3;0x8a06339Abd7499Af755DF585738ebf43D5D62B94;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;3232.0;3232.0;33.01
cake;USD+-WETH 0.01 V3;0xe37304F7489ed253b2A46A1d9DabDcA3d311D22E;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;3929.0;3929.0;40.129
cake;USD+-WETH 0.01 V3;0x5b9FEB72588D2800892a00d2abB4ca9071df846e;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;1351.0;1351.0;13.798
cake;BRETT-USD+ 0.05 V3;0x98Ee8cd99370Ab19F18Fb9033337995076867ee9;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;621.0;621.0;6.343
cake;wstETH-USD+ 0.01 V3;0xa4846201E94D2a5399774926f760A36D52Ac22BF;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;658.0;658.0;6.72
