Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
B-sdBAL-STABLE;0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;732.850300;26.000527;3.74
D2D-rETH;0x2D02Bf5EA195dc09854E18E7d2857A16bF376963;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;688.243751;86.776674;12.48
20GYD-80D2D;0xBC5E2f2945Ff4a6568C4DBD3aA15D9e8FfDF0125;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;466.135200;58.772291;8.45
80T-20TBTC;0xCc6A23446f6388D78F3037BD55f2eB820352d982;T;0xCdF7028ceAB81fA0C6971208e83fa7872994beE5;7168.067521;22.524794;3.24
2BTC;0x21c377cBB2bEdDd8534308E5CdfeBE35fDF817E8;T;0xCdF7028ceAB81fA0C6971208e83fa7872994beE5;17005.655034;53.438236;7.68
50WETH-50AURA;0x275df57d2b23d53e20322b4bb71bf1dcb21d0a00;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;1887.490131;132.200102;19.01
B-auraBAL-STABLE;0x0312aa8d0ba4a1969fddb382235870bf55f7f242;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;1768.267638;123.849740;17.81
B-rETH-STABLE;0x79ef6103a513951a3b25743db509e267685726b7;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;78.122116;9.849966;1.42
50wstETH-50ACX;0xf7b0751fea697cf1a541a5f57d11058a8fb794ee;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;368.833165;46.504040;6.69
weETH/ezETH/rswETH;0x253ed65fff980aee7e94a0dc57be304426048b35;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;324.516501;40.916409;5.88
wstETH-WETH-BPT;0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;375.618300;47.359539;6.81
STG/USDC;0x15c84754c7445d0df6c613f1490ca07654347c1b;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;90.026913;11.350973;1.63
bb-WETH-wstETH;0xf8c85bd74fee26831336b51a90587145391a27ba;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;285.195513;35.958653;5.17
