Protocol,Gauge Name,Gauge Address,Reward Token,Reward Address,Reward Amount,Reward sd Value,Share % per Protocol
curve,USDT+WBTC+WETH ,0xDeFd8FdD20e0f34115C7018CCfb655796F6B2168,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,17429.03,17080.344,5.714
curve,poly-CRV+crvUSDBTCETH ,0x40371aad2a24ed841316EF30938881440FD4426c,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,17296.792,16950.752,5.671
curve,USDC+WBTC+WETH ,0x85D44861D024CB7603Ba906F2Dc9569fC02083F6,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,28097.551,27535.431,9.212
curve,USDT+WBTC+WETH ,0xF29FfF074f5cF755b55FbB3eb10A29203ac91EA2,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,25641.412,25128.429,8.407
curve,USDT+crvUSD ,0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,26605.329,26073.062,8.723
curve,ALCX+FRAXBP ,0xD5bE6A05B45aEd524730B6d1CC05F59b021f6c87,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,37.133,424.89,0.142
curve,USDC+crvUSD ,0x95f00391cB5EebCd190EB58728B4CE23DbFa6ac1,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,25802.837,25286.625,8.46
curve,crvUSD+WETH+CRV ,0x8D867BEf70C6733ff25Cc0D1caa8aA6c38B24817,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,29634.017,29041.158,9.716
curve,GRAI+FRAXBP ,0x8d5AF1F5DD3dC4B73e3A9Af682aDC3641FADE9a5,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,94.309,1079.118,0.361
curve,FRAX+USDC ,0xCFc25170633581Bf896CB6CDeE170e3E3Aa59503,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,165.305,1891.472,0.633
curve,dETH+frxETH ,0x688Eb2C49D352c9448049A2263CFcE63D0918d3e,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,36.335,415.753,0.139
curve,crvUSD+tBTC+wstETH ,0x60d3d7eBBC44Dc810A743703184f062d00e6dB7e,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,11784.466,11548.706,3.864
curve,ETH+frxETH ,0x2932a86df44Fe8D2A706d8e9c5d51c24883423F5,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,2253.112,25780.864,8.625
curve,MIM+3Crv ,0xd8b712d29381748dB89c36BCa0138d7c75866ddF,SPELL,0x090185f2135308BaD17527004364eBcC2D37e5F6,44456854.392,39398.732,13.181
curve,ETH+stETH ,0x79F21BC30632cd40d2aF8134B469a0EB4C9574AA,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,18947.234,18568.175,6.212
curve,CRV+sdCRV ,0x26F7786de3E6D9Bd37Fcf47BE6F2bC455a21b74A,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,20877.192,20459.522,6.845
curve,ETH+OETH ,0xd03BE91b1932715709e18021734fcB91BB431715,OGV,0x9c354503C38481a7A7a51629142963F98eCC12D0,948206.209,10878.764,3.64
curve,crvUSD+USDM ,0xdF901BE65847AaCED69319394835E7Dce5740556,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,797.667,1362.388,0.456
frax,Convex stkcvxCOILFRAXBP,0x39cd4db6460d8B5961F73E997E86DdbB7Ca4D5F6,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,265.049,269.58,59.734
frax,Temple FRAX/TEMPLE,0x10460d02226d6ef7B2419aE150E6377BdbB7Ef16,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,1223.456,181.717,40.266
frax,Convex stkcvxtriSDT,0x50Cde910D1f8b6C787b7903d23082542593E0710,sdFXS,0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36,409.336,409.336,90.702
balancer,80Silo-20WETH,0x6661136537dfDCA26EEA05c8500502d7D5796E5E,Silo,0x6f80310CA7F2C654691D1383149Fa1A57d8AB1f8,28187.611,171.895,23.897
balancer,B-sdBAL-STABLE,0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2,SDT,0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F,2168.212,58.69,8.159
balancer,B-baoUSD-LUSD-BPT,0x5aF3B93Fb82ab8691b82a09CBBae7b8D3eB5Ac11,BaoUSD,0x7945b0A6674b175695e5d1D08aE1e6F13744Abb0,827.061,76.325,10.611
balancer,80D2D-20USDC,0x1249c510e066731FF14422500466A7102603da9e,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3163.079,297.189,41.316
balancer,RDNT-WETH,0x8135d6abfd42707a87a7b94c5cfa3529f9b432ad,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,156.525,14.706,2.045
balancer,B-rETH-STABLE,0x79ef6103a513951a3b25743db509e267685726b7,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,42.239,3.969,0.552
balancer,50rETH-50BADGER,0x87012b0c3257423fd74a5986f81a0f1954c17a1d,BADGER,0x3472A5A71965499acd81997a54BBA8D852C6E53d,222.431,62.593,8.702
balancer,50rETH-50BADGER,0x87012b0c3257423fd74a5986f81a0f1954c17a1d,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,34.181,3.212,0.446
balancer,maticX-WMATIC-BPT,0x9965713498c74aee49cef80b2195461f188f24f8,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,152.603,14.338,1.993
balancer,STG/USDC,0x15c84754c7445d0df6c613f1490ca07654347c1b,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,174.499,16.395,2.279
