Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
curve;USDT+WBTC+WETH ;0xDeFd8FdD20e0f34115C7018CCfb655796F6B2168;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;21698.17;22347.128;7.131
curve;poly-CRV+crvUSDBTCETH ;0x40371aad2a24ed841316EF30938881440FD4426c;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;14905.275;15351.068;4.899
curve;USDC+WBTC+WETH ;0x85D44861D024CB7603Ba906F2Dc9569fC02083F6;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;24662.519;25400.137;8.105
curve;USDT+WBTC+WETH ;0xF29FfF074f5cF755b55FbB3eb10A29203ac91EA2;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;23023.97;23712.582;7.567
curve;USDT+crvUSD ;0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;18509.499;19063.09;6.083
curve;ALCX+FRAXBP ;0xD5bE6A05B45aEd524730B6d1CC05F59b021f6c87;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;22.803;327.635;0.105
curve;USDC+crvUSD ;0x95f00391cB5EebCd190EB58728B4CE23DbFa6ac1;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;15072.701;15523.502;4.954
curve;XAI+FRAXBP ;0xa8Ea11465A1375BF42463C3B613dFC54248b9C7B;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;122.318;1757.469;0.561
curve;crvUSD+WETH+CRV ;0x8D867BEf70C6733ff25Cc0D1caa8aA6c38B24817;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;38593.187;39747.449;12.684
curve;BUSD+FRAXBP ;0xAeac6Dcd12CC0BE74c8f99EfE4bB5205a1f9A608;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;95.963;1378.802;0.44
curve;FRAX+USDC ;0xCFc25170633581Bf896CB6CDeE170e3E3Aa59503;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;632.677;9090.316;2.901
curve;dETH+frxETH ;0x688Eb2C49D352c9448049A2263CFcE63D0918d3e;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;54.007;775.977;0.248
curve;crvUSD+tBTC+wstETH ;0x60d3d7eBBC44Dc810A743703184f062d00e6dB7e;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;19844.809;20438.337;6.522
curve;MIM+3Crv ;0xd8b712d29381748dB89c36BCa0138d7c75866ddF;SPELL;0x090185f2135308BaD17527004364eBcC2D37e5F6;35845205.438;35802.747;11.425
curve;ETH+stETH ;0x79F21BC30632cd40d2aF8134B469a0EB4C9574AA;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;17128.849;17641.146;5.629
curve;CRV+sdCRV ;0x26F7786de3E6D9Bd37Fcf47BE6F2bC455a21b74A;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;16302.446;16790.027;5.358
curve;base-USDC+USDbC+axlUSDC+crvUSD ;0x79edc58C471Acf2244B8f93d6f425fD06A439407;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;13151.093;13544.421;4.322
curve;base-CRV+crvUSD ;0x89289DC2192914a9F0674f1E9A17C56456549b8A;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;8249.548;8496.28;2.711
curve;base-crvUSD+tBTC+WETH ;0x93933FA992927284e9d508339153B31eb871e1f4;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;7329.398;7548.609;2.409
curve;weETH+WETH ;0x1CAC1a0Ed47E2e0A313c712b2dcF85994021a365;weETH;0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee;1.046;4047.969;1.292
curve;mkUSD+crvUSD ;0x0e5bdb5afe132D1c6A6C67f6D8eB6133dD607e36;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;14163.643;14587.255;4.655
frax;Convex stkcvxCOILFRAXBP;0x39cd4db6460d8B5961F73E997E86DdbB7Ca4D5F6;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;263.143;286.084;46.704
frax;Convex stkcvxtriSDT;0x50Cde910D1f8b6C787b7903d23082542593E0710;sdFXS;0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36;45.709;45.709;7.462
frax;Convex stkcvxpUSDFRAXBP;0x40b42E4ab3c044e67CBFb0bD99C9E975dcB83668;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;21.121;22.963;3.749
frax;Convex stkcvxalUSDFRAXBP;0x711d650Cd10dF656C2c28D375649689f137005fA;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;74.662;81.171;13.251
frax;Convex stkcvxeUSDFRAXBP;0x4c9AD8c53d0a001E7fF08a3E5E26dE6795bEA5ac;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;32.883;35.75;5.836
