Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
pendle-1717027200;Puffer - pufETH Pool - 27JUN 2024;0x17be998a578fd97687b24e83954fec86dc20c979;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.002758;0.685422;0.02
pendle-1717027200;Ethena - USDe Pool - 25JUL 2024;0x19588f29f9402bb508007feadd415c875ee3f19f;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.828189;205.806839;6.87
pendle-1717027200;Kelp - rsETH Pool - 27JUN 2024;0x4f43c77872db6ba177c270986cd30c3381af37ee;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.000276;0.068497;0.00
pendle-1717027200;Kelp - rsETH Pool - 26SEPT 2024;0x6b4740722e46048874d84306b2877600abcea3ae;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.000466;0.115878;0.00
pendle-1717027200;Zircuit - USDe (Zircuit) Pool - 27JUN 2024;0x90c98ab215498b72abfec04c651e2e496ba364c0;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.410956;102.123362;3.41
pendle-1717027200;Ethena - ENA Pool - 29AUG 2024;0x9c73879f795cefa1d5239de08d1b6aba2d2d1434;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.496502;123.381858;4.12
pendle-1717027200;Renzo - ezETH Pool - 26SEPT 2024;0xcdbd5ff3e03b6828db9c32e2131a60aba5137901;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.001396;0.346906;0.01
pendle-1717027200;Ethena - sUSDe Pool - 26SEPT 2024;0xd1d7d99764f8a52aff007b7831cc02748b2013b5;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.888467;220.786022;7.37
pendle-1717027200;Zircuit - ezETH (Zircuit) Pool  - 27JUN 2024;0xd7e0809998693fd87e81d51de1619fd0ee658031;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.001478;0.367355;0.01
pendle-1717027200;Kelp - rsETH Pool - 27JUN 2024;0x6ae79089b2cf4be441480801bb741a531d94312b;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.001910;0.474688;0.02
pendle-1717027200;Ether.fi - eETH Pool - 27JUN 2024;0x952083cde7aaa11ab8449057f7de23a970aa8472;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.276773;68.778700;2.30
pendle-1717027200;Ethena - USDe Pool - 25JUL 2024;0x7dc07c575a0c512422dcab82ce9ed74db58be30c;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.334069;83.016944;2.77
pendle-1717632000;Ethena - sUSDe Pool - 25JUL 2024;0x107a2e3cd2bb9a32b9ee2e4d51143149f8367eba;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;4.227179;1050.463259;35.08
pendle-1717632000;Puffer - pufETH Pool - 26SEPT 2024;0xa54fc268101c8b97de19ef3141d34751a11996b2;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.197381;49.049541;1.64
pendle-1717632000;Ethena - sUSDe Pool - 26SEPT 2024;0xd1d7d99764f8a52aff007b7831cc02748b2013b5;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.254311;63.196797;2.11
pendle-1717632000;Zircuit - ezETH (Zircuit) Pool  - 27JUN 2024;0xd7e0809998693fd87e81d51de1619fd0ee658031;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.180782;44.924721;1.50
pendle-1717632000;Renzo - ezETH Pool - 26DEC 2024;0xd8f12bcde578c653014f27379a6114f67f0e445f;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.250552;62.262605;2.08
pendle-1717632000;Ethena - USDe Pool - 29AUG 2024;0x2dfaf9a5e4f293bceede49f2dba29aacdd88e0c4;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.252078;62.641983;2.09
pendle-1718236800;Ethena - sUSDe Pool - 25JUL 2024;0x107a2e3cd2bb9a32b9ee2e4d51143149f8367eba;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;1.132695;281.477225;9.40
pendle-1718236800;Ethena - USDe Pool - 25JUL 2024;0x19588f29f9402bb508007feadd415c875ee3f19f;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.253764;63.061012;2.11
pendle-1718236800;Ether.fi - eETH Pool - 26DEC 2024;0x7d372819240d14fb477f17b964f95f33beb4c704;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.033174;8.243865;0.28
pendle-1718841600;Ethena - USDe Pool - 25JUL 2024;0x19588f29f9402bb508007feadd415c875ee3f19f;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;1.331686;330.926950;11.05
pendle-1718841600;Karak - USDe (Karak) Pool - 26SEPT 2024;0x1bcbdb8c8652345a5acf04e6e74f70086c68fefc;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.139031;34.549436;1.15
