address,weighted_balance_wei,weighted_balance,share_pct
0xb20179E162Ec6403d0884C904D54b6A5AF0d43FC,299999709753793785205200,299999.7097537937852052,13.138951
0x8C6d04086236a7c1670a967FC393ff58CA1d7cE9,265747062967348998181837,265747.062967348998181837,11.638803
0x7d6bC94E12810acDa25432E0E4710a8021b31907,220334230428946206178316,220334.230428946206178316,9.649878
0x21777106355Ba506A31FF7984c0aE5C924deB77f,151791828497002794721100,151791.8284970027947211,6.647958
0x7eCf3629e27b410d6a277CDca9c99240706EeBec,124347742951819294380389,124347.742951819294380389,5.446002
0x2dEF5CE83d3C0176355672806988B91450B31170,103104555337147321896813,103104.555337147321896813,4.515623
0x102255F4867C81c6a4899a8aba87aBC92a840C54,87203687598925418905003,87203.687598925418905003,3.819220
0xb0e83C2D71A991017e0116d58c5765Abc57384af,73854681976139473761754,73854.681976139473761754,3.234580
0xAE653682Dee958914A82C9628de794dCbbEe3D04,55004350166752757396141,55004.350166752757396141,2.409001
0x8F564c7272177663309F704065fFB59F403d96a1,52466299322970798903085,52466.299322970798903085,2.297843
0xf55De9A5159e18a5E960C4ea7eAab3cCABc5b0FD,52014406333513071836556,52014.406333513071836556,2.278051
0x699f324560E9236AfCFCeDbbfb9C4afA8fa9b042,48003058203655690464045,48003.058203655690464045,2.102368
0xf1e1845F0b01a6184b1D25b83eF1acA8Fac5D372,41808832375782758077598,41808.832375782758077598,1.831082
0xd72b821a1d9180FFAC4375f6F11142211a025657,40803950601306960828570,40803.95060130696082857,1.787072
0x7f5CadEF5ff312ee39d78117C106170Ad5aeE00C,36709248036157446248363,36709.248036157446248363,1.607738
0xC8233a46F57Add754f32Cf9e25A85aAe8a7D5f29,27096682286499753308986,27096.682286499753308986,1.186741
0x4FbBB92EfBb0CFc9E3FC65C1AA2385bc378C3505,26964791147440146769727,26964.791147440146769727,1.180965
0xD96249E01E711B56B59c1A17Ae64975F89beB55f,25895139080133886814408,25895.139080133886814408,1.134118
0x707ba9dF23505f646a197361DE17d482c274DAA9,25383745350243298021813,25383.745350243298021813,1.111720
0xb727FeE36a2DC39a8B4C8c27b70FaFAdf6a47e95,19317340458702609084695,19317.340458702609084695,0.846033
0xC5d3D004a223299C4F95Bb702534C14A32e8778c,18406352225767977809332,18406.352225767977809332,0.806135
0xD38beB126F7ABd25fDbA3B2Ef4eE07a113EE83FE,17728897705934167180348,17728.897705934167180348,0.776464
0x1A162A5FdaEbb0113f7B83Ed87A43BCF0B6a4D1E,17581978349341703424617,17581.978349341703424617,0.770030
0x310D5C8EE1512D5092ee4377061aE82E48973689,16927829374054753507599,16927.829374054753507599,0.741380
0xAc97DE291A4165379286ACD0bd8b32aDb7466040,16702307139037322576656,16702.307139037322576656,0.731503
0xCB823645E1aF8712e55E11097d792A180CBD8131,14126911037951811754870,14126.91103795181175487,0.618710
0x193578944Fb0a0d31508f889528E9c345D90961B,13229579509083621066950,13229.57950908362106695,0.579410
0xEA5A0514Cc0B7aD227ac77bD86a68774696b5CA8,12500000000000000000000,12500,0.547457
0x5275817b74021E97c980E95EdE6bbAc0D0d6f3a2,11572368372515147176336,11572.368372515147176336,0.506830
0x6E21DBf061FDCdc8D3695150edb384ce2E590d48,10679502480928790584477,10679.502480928790584477,0.467725
0x69Be08e37274f9D321e00c7E19cC0E96fbb70d23,10051670994577671183332,10051.670994577671183332,0.440228
0x2488065940b710a59DF77Fa917Ec46782CeB8056,10042528284233119443460,10042.52828423311944346,0.439828
0xecF8ea7b603d68711B6D1aEF291E09B123D82937,9989294395252352783477,9989.294395252352783477,0.437497
0xA30d10cb8680A0892E3BAEa0056c8f28bA020aA8,9641496748773250756592,9641.496748773250756592,0.422264
0x3b57A32dDc2A84c1915E4d321892232D1C09B72A,9248161522744678509248,9248.161522744678509248,0.405038
0x629957b0fCb06a5E46A2bcBd865Dd6a6D7BaacA4,8711650700489556419050,8711.65070048955641905,0.381540
0xFCeEfd7c6A7DA1C05A58edE89f4EB6Cf3050AE5D,8351479357326667862954,8351.479357326667862954,0.365766
0x39dBe03cb40317C066ce14E9f1FF9606a2fF205d,8321838228933179739144,8321.838228933179739144,0.364468
0xa0E9651D1bc9214807915735966a02913CB79941,8082802569852109763586,8082.802569852109763586,0.353999
0xCe94f633F9D86023066EB13da7DB517f62e9673A,7846845861750452000211,7846.845861750452000211,0.343665
0x95c14C058Aaffda687780eB60Ef8658EF1166578,7368069510002507784570,7368.06951000250778457,0.322696
0xA0FB1b11ccA5871fb0225B64308e249B97804E99,7304147646004106227348,7304.147646004106227348,0.319896
0x6907E93C2a379Ba3B4F7B88c36Af7f605295528F,7129147133696451918036,7129.147133696451918036,0.312232
0x2236946E0DF3D2ae0B79F464742FC9e8d7bc53B1,7117378098368553474325,7117.378098368553474325,0.311717
0xc926dDba8b7617dbC65712F20cF8E1B58B8598D3,7106372764629161859347,7106.372764629161859347,0.311235
0x4D26f0e78C154f8FDA7AcF6646246Fa135507017,6803696562134252152060,6803.69656213425215206,0.297978
0xc7B8AC0C924520D44A45EC58c8744AF0a450C14A,6639817469742117886173,6639.817469742117886173,0.290801
0x427AE11dBc7c3fcB791132ED740620c5d22cfd50,6489827165534219198244,6489.827165534219198244,0.284232
0xa61B22BE6d93b2ddC184861A0d780ACF7d4Abaa3,6309271284118018585334,6309.271284118018585334,0.276324
0x7F91B4A29bFdCDb09E6250E218BbD010eD44CFA1,6304004964062807444131,6304.004964062807444131,0.276094
0xB226d0F48e7629A5c39A958be7dfeA0eE96936b0,6140734216036426926244,6140.734216036426926244,0.268943
0xD77696AefA3B07f06785C751014E13b2F915Bf0E,6073793313331014496110,6073.79331333101449611,0.266011
0xfaf70504d2e0637a8289A31e153D1A735e5bEBAf,6017126851525418149374,6017.126851525418149374,0.263529
0x1A31C94f97C649bC2a8aDbCeb54D1f4a075be4b1,5611060694976548309070,5611.06069497654830907,0.245745
0x860b7Abd16672B33Bab84679526227adb283ed8f,5184217871575913486530,5184.21787157591348653,0.227051
0xDbE0c28c273bbB10a632B1aaf65AC2B877bb2b92,5006507113341016107693,5006.507113341016107693,0.219268
0x22B5629CE137D9B714fD22fbAF19CCbF5f04e58E,5000366743305652694345,5000.366743305652694345,0.218999
0xC69aDcA4485C0C494f34e9Aa6b0A31f343f76411,4722000000000000000000,4722,0.206807
0x23F1045cA09E9c3206851336a2a05d35bBC812d3,4592139801604279954533,4592.139801604279954533,0.201120
0x49De76E8e7c1b6a974D6B766B9b5F5d199566e94,4558685831631443906040,4558.68583163144390604,0.199655
0x626117573214aF3Df54d387ff6CA254023268dAd,4295472685214786725743,4295.472685214786725743,0.188127
0x84e4384Ae224f8627bc5Fa7A0cA51EF79330190D,4294548810349741786726,4294.548810349741786726,0.188086
0x8e0eA550BfB47c4897c1a2b880f750cEED206ca1,4198820502987005391592,4198.820502987005391592,0.183894
